depth,water_saturation,porosity,gamma_ray,permeability
9632,0.730400026,0.218894005,51.58599854,20.70486795
9632.5,0.708400011,0.222350001,52.13199997,22.18231407
9633,0.698599994,0.223501995,52.25500107,22.69246269
9633.5,0.685299993,0.224654004,52.91999817,22.77474731
9634,0.641499996,0.232719004,51.82899857,26.59814737
9634.5,0.60769999,0.240207002,51.35800171,30.57511942
9635,0.555800021,0.255760014,51.07799912,40.29534663
9635.5,0.571699977,0.251727998,51.85499954,37.57421768
9636,0.51819998,0.269008994,52.9090004,50.32284327
9636.5,0.513800025,0.266128987,53.67699814,47.99509382
9637,0.4903,0.270161003,53.9469986,51.27798512
9637.5,0.481900007,0.271889001,53.55199814,52.73688344
9638,0.488799989,0.266705006,52.93600082,48.45386088
9638.5,0.509599984,0.260369003,52.58599854,53.41064726
9639,0.5255,0.255760014,52.57899857,49.37403926
9639.5,0.532999992,0.252880007,52.27299881,46.9741345
9640,0.521700025,0.249423996,53.99700165,44.2143486
9640.5,0.563300014,0.243663997,54.97499847,39.89486575
9641,0.624499977,0.228110999,55.30899811,29.84546887
9641.5,0.651899993,0.226382002,55.17900085,28.86285948
9642,0.697399974,0.210253,52.68099976,20.84974261
9642.5,0.680000007,0.191819996,51.47499847,13.92412996
9643,0.657199979,0.184908003,50.95299912,10.18569933
9643.5,0.629800022,0.179723993,51.99900055,8.987779268
9644,0.615400016,0.186059997,52.52099991,10.46788582
9644.5,0.587100029,0.202188999,53.20700073,15.09102828
9645,0.565599978,0.217741996,52.97000122,20.90891124
9645.5,0.67869997,0.209101006,53.24300003,17.49656043
9646,0.693599999,0.205069006,53.75799942,16.06001147
9646.5,0.762300015,0.185484007,53.5890007,10.32604956
9647,0.698400021,0.168202996,53.55599976,6.715125644
9647.5,0.641300023,0.181452006,53.83300018,11.1213347
9648,0.585600019,0.197580993,54.84700012,16.17647266
9648.5,0.530600011,0.216013998,56.28300095,23.95109873
9649,0.501999974,0.226382002,57.83599854,29.43807795
9649.5,0.584699988,0.210829005,59.22399902,21.52279564
9650,0.773999989,0.176266998,59.43199921,9.789433082
9650.5,0.708000004,0.169250995,65.54000092,7.635790459
9651,0.726999998,0.164519996,65.73200226,6.740293688
9651.5,0.784500003,0.150854006,68.125,4.602213086
9652,0.791800022,0.149277002,68.52500153,4.394256087
9652.5,0.795700014,0.150328994,67.57299805,4.532154339
9653,0.771499991,0.155058995,66.55500031,5.194015401
9653.5,0.6875,0.173981994,65.22200012,6.710278063
9654,0.657400012,0.181866005,64.16500092,8.1550813
9654.5,0.649100006,0.18502,64.26300049,8.795970193
9655,0.652999997,0.18502,63.84199905,8.795970193
9655.5,0.656499982,0.183442995,63.95399857,8.470841527
9656,0.658900023,0.182916999,62.87799835,8.36449011
9656.5,0.651000023,0.184494004,62.24499893,8.686473518
